sub,passive,stim_freq,accuracy_group,plv
2,False,130,low,0.05557771716789137
2,False,200,low,0.058091548611519106
2,False,280,low,0.06801114217327005
2,True,130,low,0.05609789791718178
2,True,200,low,0.06380877379362712
2,True,280,low,0.060180031372057456
3,False,130,high,0.05971556828923213
3,False,200,high,0.052259305089053985
3,False,280,high,0.05318510624742463
3,True,130,high,0.05485978461181266
3,True,200,high,0.054237364650693294
3,True,280,high,0.054937403391886956
4,False,130,low,0.053047189685661404
4,False,200,low,0.05048779915345545
4,False,280,low,0.05213130558850754
4,True,130,low,0.05294228017484667
4,True,200,low,0.05575109458777179
4,True,280,low,0.061313834223724925
6,False,130,high,0.06427675280732222
6,False,200,high,0.10115018560394258
6,False,280,high,0.060446000108579936
6,True,130,high,0.06305945060541832
6,True,200,high,0.08096068508103874
6,True,280,high,0.05420220289788553
7,False,130,low,0.057444163613380755
7,False,200,low,0.06655355328525851
7,False,280,low,0.059260628278002554
7,True,130,low,0.058025744992849834
7,True,200,low,0.06724763238826793
7,True,280,low,0.06337864499850428
8,False,130,high,0.05840573327032688
8,False,200,high,0.09013328339738882
8,False,280,high,0.057721038626877816
8,True,130,high,0.06186503309275846
8,True,200,high,0.10641234648283092
8,True,280,high,0.0606787117774856
9,False,130,high,0.06427770521133687
9,False,200,high,0.056632015436608944
9,False,280,high,0.06922483265294484
9,True,130,high,0.05689426577893734
9,True,200,high,0.06829555435754014
9,True,280,high,0.05081163969546036
10,False,130,high,0.05571439610710941
10,False,200,high,0.10277986378906463
10,False,280,high,0.06201271098224701
10,True,130,high,0.06136983695055412
10,True,200,high,0.093136980935749
10,True,280,high,0.06369548353172923
11,False,130,high,0.053162752320908634
11,False,200,high,0.0670349941300389
11,False,280,high,0.05780135587386914
11,True,130,high,0.05119240120180164
11,True,200,high,0.06050953823510973
11,True,280,high,0.05439440131205664
12,False,130,low,0.14670403651202416
12,False,200,low,0.15539700611520357
12,False,280,low,0.0617170709787809
12,True,130,low,0.13891796983696647
12,True,200,low,0.15267916756863747
12,True,280,low,0.0685366273845668
13,False,130,high,0.06304706399816158
13,False,200,high,0.07567365891369875
13,False,280,high,0.05653294982510579
13,True,130,high,0.06682116634057376
13,True,200,high,0.05975243605147672
13,True,280,high,0.06775148924167299
14,False,130,high,0.06531381611647775
14,False,200,high,0.05796901406282028
14,False,280,high,0.05249604381607447
14,True,130,high,0.05943896008067482
14,True,200,high,0.05456180638825439
14,True,280,high,0.060384269236134075
15,False,130,high,0.05505565720689381
15,False,200,high,0.10625043073220407
15,False,280,high,0.07356174454335179
15,True,130,high,0.06724942546441848
15,True,200,high,0.10749212958581987
15,True,280,high,0.06746595080517673
16,False,130,low,0.07577913620010901
16,False,200,low,0.08927230589714545
16,False,280,low,0.06309359858584633
16,True,130,low,0.08919275402661853
16,True,200,low,0.11360000566252226
16,True,280,low,0.07093587620843042
18,False,130,high,0.08565647538874147
18,False,200,high,0.10994762062116609
18,False,280,high,0.06285922443610528
18,True,130,high,0.06426592248048885
18,True,200,high,0.0997251795408732
18,True,280,high,0.05593920249831956
19,False,130,high,0.06355344857865641
19,False,200,high,0.09919981852499224
19,False,280,high,0.08574986101385569
19,True,130,high,0.05661035854908505
19,True,200,high,0.10448072838740023
19,True,280,high,0.09724920864304486
20,False,130,high,0.08236862894001162
20,False,200,high,0.10076822058810188
20,False,280,high,0.058334958158244125
20,True,130,high,0.0823233328165558
20,True,200,high,0.11195490798443061
20,True,280,high,0.07679197939541985
21,False,130,low,0.11283660502033797
21,False,200,low,0.21327320083625548
21,False,280,low,0.05974224347057767
21,True,130,low,0.10095692123185333
21,True,200,low,0.1979509372446537
21,True,280,low,0.06808159306264472
22,False,130,low,0.07058988652828387
22,False,200,low,0.09917190058020864
22,False,280,low,0.0683911934777335
22,True,130,low,0.07412341233539292
22,True,200,low,0.10051164623968369
22,True,280,low,0.07469884010928271
23,False,130,low,0.050900539773741774
23,False,200,low,0.09360153568798964
23,False,280,low,0.05648532982667923
23,True,130,low,0.061116360968303605
23,True,200,low,0.1331112249127815
23,True,280,low,0.0607115321513404
24,False,130,low,0.08270501638135398
24,False,200,low,0.11374897626500712
24,False,280,low,0.052497369639603816
24,True,130,low,0.0897798712533019
24,True,200,low,0.17159333045823266
24,True,280,low,0.06849384485118108
25,False,130,low,0.05990093515642863
25,False,200,low,0.1226002034748891
25,False,280,low,0.07438074943427839
25,True,130,low,0.07051001936044783
25,True,200,low,0.09633091143007087
25,True,280,low,0.06522652387834535
26,False,130,low,0.09455613468553653
26,False,200,low,0.1108755611835036
26,False,280,low,0.0697768358750098
26,True,130,low,0.08741449265537571
26,True,200,low,0.1075792853092664
26,True,280,low,0.07299875475381046
28,False,130,high,0.05329933894030846
28,False,200,high,0.0560405731889231
28,False,280,high,0.055151831914726245
28,True,130,high,0.055044191062910246
28,True,200,high,0.06379553456594136
28,True,280,high,0.05906916938406332
29,False,130,low,0.05442692359484246
29,False,200,low,0.07367379337760391
29,False,280,low,0.05430640084042186
29,True,130,low,0.059038188665953825
29,True,200,low,0.07254558993133485
29,True,280,low,0.05375872856417925
30,False,130,low,0.05898606878368017
30,False,200,low,0.05642232740394888
30,False,280,low,0.04985910616350037
30,True,130,low,0.05224431095623854
30,True,200,low,0.055195389657788495
30,True,280,low,0.05937060043261228
